collected_at,itemCode,itemName,shopName,price,rank,memory_gb,ssd_gb,availability,itemUrl
2026-08-16,xinjianda:10020443,★国内発送★VAIO Pro PJ VJPJ21 VJPJ211 PC8829C11N CPU冷却ファン 修理交換部品,BWBJ楽天市場店,4500,不明,,,1,https://item.rakuten.co.jp/xinjianda/cpu-11101402/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,astarye:10019517,★国内発送★VAIO Pro PJ VJPJ21 VJPJ211 PC8829C11N CPU冷却ファン 修理交換部品,astarshop,4500,新品/未開封,,,1,https://item.rakuten.co.jp/astarye/cpu-11101402/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,xinjianda:10018290,★新品★VAIO Pro PJ VJPJ21/PC8829C11N 等用 液晶パネル12.5インチ FHD 1920x1080 非光沢 修理交換部品,BWBJ楽天市場店,10500,新品/未開封,,,1,https://item.rakuten.co.jp/xinjianda/lcd-0015698/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,xinjianda:10018959,★新品★VAIO Pro PJ VJPJ21/VJPJ214000005 VJPJ214000004 VJPJ214000002 等用 液晶パネル12.5インチ FHD 1920x1080 非光沢 修理交換部,BWBJ楽天市場店,10500,新品/未開封,,,1,https://item.rakuten.co.jp/xinjianda/lcd-00114125/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,xinjianda:10018868,★新品★VAIO Pro PJ VJPJ21/VJPJ211EAE1B VJPJ211JAE1B VJPJ211JBE1B 等用 液晶パネル12.5インチ FHD 1920x1080 非光沢 修理交換部品,BWBJ楽天市場店,10500,新品/未開封,,,1,https://item.rakuten.co.jp/xinjianda/lcd-00275/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,xinjianda:10019933,★新品★VAIO Pro PJ VJPJ21/VJPJ214000003 VJPJ214000001 VJPJ218000042 等用 液晶パネル12.5インチ FHD 1920x1080 非光沢 修理交換部,BWBJ楽天市場店,12800,新品/未開封,,,1,https://item.rakuten.co.jp/xinjianda/lcd-001158145/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,astarye:10022248,★新品 送料無料★VAIO VJ8BPS60 VJS144C1111W VJPJ21 ノートPC交換バッテリー 充電池 7.7V 53Wh 6886mAh対応,astarshop,20980,新品/未開封,,,1,https://item.rakuten.co.jp/astarye/qw1221/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,rainbowpc:10056438,訳有 フルHD 12.5インチ SONY VAIO VJPJ218 Windows11 卓越性能 第11世代Core i5-1135G7 16GB 爆速NVMe式256GB-SSD カメラ WWAN 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古パソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,レインボー家電,26389,不明,,256,1,https://item.rakuten.co.jp/rainbowpc/vjp-lly12301337h/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,pc-one:10049854,中古良品 フルHD 12.5インチ SONY VAIO Pro VJPJ211KBE3B Windows11 卓越性能 第11世代Core i5-1135G7 8GB 爆速NVMe式256GB-SSD カメラ LTE 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,PCONE,29689,不明,,256,1,https://item.rakuten.co.jp/pc-one/vjpj-lly07021373r/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,rainbowpc:10059067,中古良品 フルHD 12.5インチ SONY VAIO Pro VJPJ211KBE3B Windows11 卓越性能 第11世代Core i5-1135G7 8GB 爆速NVMe式256GB-SSD カメラ LTE 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,レインボー家電,29689,不明,,256,1,https://item.rakuten.co.jp/rainbowpc/vjpj-lly07021373r/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,rainbowpc:10056121,中古 フルHD 12.5インチ SONY VAIO VJPJ218 Windows11 卓越性能 第11世代Core i5-1135G7 16GB 爆速NVMe式PCIE4.0 256GB-SSD カメラ LTE 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古パソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,レインボー家電,30789,不明,,256,0,https://item.rakuten.co.jp/rainbowpc/vjpj-lly12101447m/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,pc-one:10047371,中古 フルHD 12.5インチ SONY VAIO VJPJ218 Windows11 卓越性能 第11世代Core i5-1135G7 16GB 爆速NVMe式PCIE4.0 256GB-SSD カメラ LTE 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古パソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,PCONE,30789,不明,,256,0,https://item.rakuten.co.jp/pc-one/vjpj-lly12101447m/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,pc-one:10049133,中古 フルHD 12.5インチ SONY VAIO VJPJ218 Windows11 卓越性能 第11世代Core i5-1135G7 8GB 爆速NVMe式256GB-SSD カメラ 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古パソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,PCONE,31889,B(傷や汚れあり),,256,1,https://item.rakuten.co.jp/pc-one/vjpj-lly05261321s/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,pc-one:10049763,中古 フルHD 12.5インチ VAIO ProPJ VJPJ211 Windows11 卓越性能 第11世代Core i5-1135G7 8GB 爆速NVMe式256GB-SSD カメラ LTE 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古パソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,PCONE,31889,不明,,256,1,https://item.rakuten.co.jp/pc-one/vjpj211-lly06261156w/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,rainbowpc:10058968,中古 フルHD 12.5インチ VAIO ProPJ VJPJ211 Windows11 卓越性能 第11世代Core i5-1135G7 8GB 爆速NVMe式256GB-SSD カメラ LTE 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古パソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,レインボー家電,31889,不明,,256,1,https://item.rakuten.co.jp/rainbowpc/vjpj211-lly06261156w/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
2026-08-16,rainbowpc:10058247,中古 フルHD 12.5インチ SONY VAIO VJPJ218 Windows11 卓越性能 第11世代Core i5-1135G7 8GB 爆速NVMe式256GB-SSD カメラ 無線Wi-Fi6 Office付き Win11【中古ノートパソコン 中古パソコン 中古PC】送料無料 あす楽対応 即日発送（Windows10も対応可能 Win10）,レインボー家電,31889,B(傷や汚れあり),,256,1,https://item.rakuten.co.jp/rainbowpc/vjpj-lly05261321s/?rafcid=wsc_i_is_2988064a-dd55-4b3c-98aa-2a977822afe9
